ID_Client,âge,genre,type de voyage,destination,saison de voyage,durée de voyage (en jours),nombre de personnes,prix total,mode de paiement,évaluation sur 5,date de début de voyage,date de fin de voyage,période de voyage,budget_voyage_annuel,durée moyenne de voyage annuelle (en jours)
114,46,,Culturel,Norvège,hiver,10,3,4586,,1,29-09-2024,30-09-2024,29-09-2024 au 30-09-2024,5419,22
115,26,F,Culturel,Brésil,hiver,6,1,957,,1,11-05-2024,02-06-2024,11-05-2024 au 02-06-2024,5912,8
116,27,,Culturel,Bali,hiver,10,2,4588,Paypal,2,20-06-2024,28-06-2024,20-06-2024 au 28-06-2024,5280,26
117,34,F,aventure,Norvège,printemps,10,3,4603,Virement,1,16-05-2024,11-06-2024,16-05-2024 au 11-06-2024,4330,15
118,64,M,culturel,Népal,printemps,8,5,2517,,2,06-03-2025,21-03-2025,06-03-2025 au 21-03-2025,5291,1
119,48,Autre,,Norvège,automne,12,1,7066,Virement,4,14-03-2025,15-03-2025,14-03-2025 au 15-03-2025,6610,1
120,23,F,Aventure,Brésil,été,16,3,9868,Paypal,2,03-10-2024,04-10-2024,03-10-2024 au 04-10-2024,3460,28
121,28,Autre,Aventure,Australie,hiver,9,4,3288,,1,19-05-2024,16-06-2024,19-05-2024 au 16-06-2024,5199,5
122,26,F,détente,Australie,été,11,3,5844,Virement,4,31-01-2025,05-02-2025,31-01-2025 au 05-02-2025,3950,15
123,18,M,Détente,Brésil,hiver,11,3,5866,Virement,3,10-01-2025,25-01-2025,10-01-2025 au 25-01-2025,6793,12
124,56,Autre,Aventure,Maroc,automne,9,1,3308,,2,03-12-2024,15-12-2024,03-12-2024 au 15-12-2024,2715,14
125,39,,culturel,Brésil,hiver,5,4,252,Carte de crédit,2,24-02-2025,10-03-2025,24-02-2025 au 10-03-2025,4162,17
126,31,M,Culturel,Bali,printemps,8,5,2520,Carte de crédit,1,07-09-2024,24-09-2024,07-09-2024 au 24-09-2024,5566,25
127,43,M,aventure,Norvège,été,7,2,1607,Paypal,1,12-09-2024,07-10-2024,12-09-2024 au 07-10-2024,7348,4
128,35,,Détente,Népal,hiver,12,3,7069,Paypal,1,15-01-2025,19-01-2025,15-01-2025 au 19-01-2025,4901,9
129,33,Autre,aventure,Brésil,hiver,10,5,4620,,3,02-09-2024,11-09-2024,02-09-2024 au 11-09-2024,4167,15
130,30,,aventure,Norvège,printemps,11,5,5876,,2,11-06-2024,26-06-2024,11-06-2024 au 26-06-2024,7822,14
131,32,,aventure,Australie,hiver,10,2,4623,Paypal,4,10-08-2024,24-08-2024,10-08-2024 au 24-08-2024,2828,9
132,39,M,aventure,Japon,automne,10,2,4625,,5,14-09-2024,23-09-2024,14-09-2024 au 23-09-2024,1702,4
133,40,M,détente,Maroc,automne,9,3,3314,Carte de crédit,1,28-12-2024,01-01-2025,28-12-2024 au 01-01-2025,5660,16
134,36,Autre,,Costa Rica,été,12,4,7076,,3,22-08-2024,07-09-2024,22-08-2024 au 07-09-2024,4247,18
135,35,,Aventure,Pérou,automne,11,2,5915,Carte de crédit,4,22-02-2025,12-03-2025,22-02-2025 au 12-03-2025,3468,1
136,36,,détente,Bali,automne,6,1,965,Paypal,2,07-10-2024,08-10-2024,07-10-2024 au 08-10-2024,6063,15
137,32,,Culturel,Vietnam,hiver,13,1,8149,,2,07-02-2025,22-02-2025,07-02-2025 au 22-02-2025,5366,11
138,26,M,culturel,Bali,automne,6,5,970,Virement,2,21-06-2024,02-07-2024,21-06-2024 au 02-07-2024,4154,9
139,46,M,,Bali,automne,15,4,9590,Virement,2,12-06-2024,21-06-2024,12-06-2024 au 21-06-2024,3080,4
140,29,F,détente,Islande,hiver,6,2,977,Paypal,1,07-02-2025,11-02-2025,07-02-2025 au 11-02-2025,6309,22
141,20,,culturel,Bali,hiver,7,1,1656,Virement,2,09-09-2024,01-10-2024,09-09-2024 au 01-10-2024,5975,14
142,36,Autre,Aventure,Vietnam,été,6,2,981,,3,24-10-2024,07-11-2024,24-10-2024 au 07-11-2024,4851,26
143,28,M,détente,Bali,printemps,9,3,3332,Virement,3,28-08-2024,23-09-2024,28-08-2024 au 23-09-2024,7770,21
144,18,M,culturel,Bali,été,12,2,7081,,4,02-02-2025,23-02-2025,02-02-2025 au 23-02-2025,3395,18
145,47,F,Détente,Pérou,printemps,18,2,9959,,5,25-10-2024,12-11-2024,25-10-2024 au 12-11-2024,2712,2
146,36,Autre,Culturel,Pérou,hiver,9,5,3349,Virement,3,15-08-2024,17-08-2024,15-08-2024 au 17-08-2024,3962,29
147,18,,culturel,Australie,été,7,4,1679,,1,23-02-2025,24-03-2025,23-02-2025 au 24-03-2025,4932,2
148,41,,culturel,Népal,printemps,10,2,4628,Virement,3,20-03-2025,22-03-2025,20-03-2025 au 22-03-2025,5365,9
149,19,F,aventure,Australie,été,9,5,3372,Virement,4,03-12-2024,12-12-2024,03-12-2024 au 12-12-2024,4638,8
150,29,Autre,,Bali,automne,5,1,267,,2,16-07-2024,24-07-2024,16-07-2024 au 24-07-2024,5528,1
151,18,F,culturel,Islande,hiver,6,4,984,Carte de crédit,4,26-08-2024,27-08-2024,26-08-2024 au 27-08-2024,3123,20
152,31,,Détente,Népal,printemps,11,2,5919,Paypal,2,04-07-2024,24-07-2024,04-07-2024 au 24-07-2024,7166,13
153,22,F,Culturel,Pérou,été,7,4,1693,Carte de crédit,2,01-07-2024,14-07-2024,01-07-2024 au 14-07-2024,4877,16
154,41,,Aventure,Brésil,automne,12,5,7129,Virement,2,21-10-2024,06-11-2024,21-10-2024 au 06-11-2024,6676,27
155,38,Autre,Aventure,Maroc,automne,10,3,4638,Virement,1,28-06-2024,25-07-2024,28-06-2024 au 25-07-2024,5514,16
156,56,F,Détente,Vietnam,été,8,3,2541,Paypal,4,20-02-2025,08-03-2025,20-02-2025 au 08-03-2025,5685,7
157,22,Autre,,France,printemps,9,4,3375,Virement,1,15-02-2025,22-02-2025,15-02-2025 au 22-02-2025,5855,30
158,40,Autre,aventure,France,printemps,5,3,308,Carte de crédit,2,23-12-2024,22-01-2025,23-12-2024 au 22-01-2025,5672,17
159,41,F,Culturel,Bali,automne,15,3,9620,Virement,2,13-10-2024,30-10-2024,13-10-2024 au 30-10-2024,5964,20
160,45,,aventure,Australie,hiver,11,1,5928,Paypal,4,15-02-2025,07-03-2025,15-02-2025 au 07-03-2025,6994,18
161,25,Autre,détente,Costa Rica,hiver,5,4,338,Paypal,1,05-01-2025,23-01-2025,05-01-2025 au 23-01-2025,5295,15
162,22,Autre,,Costa Rica,automne,10,2,4643,Virement,3,16-06-2024,01-07-2024,16-06-2024 au 01-07-2024,6064,11
163,21,M,,Norvège,été,10,4,4646,Carte de crédit,1,02-08-2024,13-08-2024,02-08-2024 au 13-08-2024,4865,4
164,53,F,,Bali,automne,5,1,344,Carte de crédit,2,07-09-2024,11-09-2024,07-09-2024 au 11-09-2024,7160,15
165,26,Autre,Détente,Islande,automne,12,1,7130,Carte de crédit,2,11-04-2024,26-04-2024,11-04-2024 au 26-04-2024,3985,26
166,49,F,Culturel,Pérou,été,7,3,1713,Carte de crédit,2,25-02-2025,23-03-2025,25-02-2025 au 23-03-2025,7701,13
167,40,F,culturel,Pérou,printemps,11,5,5940,Carte de crédit,1,18-05-2024,31-05-2024,18-05-2024 au 31-05-2024,4940,11
168,48,F,détente,Vietnam,hiver,9,5,3378,,1,11-05-2024,22-05-2024,11-05-2024 au 22-05-2024,2854,7
169,18,F,culturel,Costa Rica,hiver,13,2,8151,Virement,3,08-07-2024,15-07-2024,08-07-2024 au 15-07-2024,5192,2
170,43,Autre,Aventure,Népal,été,12,1,7145,Paypal,3,30-01-2025,01-02-2025,30-01-2025 au 01-02-2025,3978,26
171,29,F,culturel,Brésil,été,8,1,2548,,1,23-08-2024,18-09-2024,23-08-2024 au 18-09-2024,6261,11
172,29,M,aventure,Norvège,automne,13,4,8155,,2,08-09-2024,19-09-2024,08-09-2024 au 19-09-2024,4021,23
173,34,F,Détente,Brésil,hiver,10,1,4656,Carte de crédit,2,17-08-2024,09-09-2024,17-08-2024 au 09-09-2024,4331,6
174,30,F,détente,Pérou,été,7,2,1715,Carte de crédit,1,24-02-2025,02-03-2025,24-02-2025 au 02-03-2025,2166,20
175,34,,Aventure,Brésil,hiver,5,1,387,Carte de crédit,2,23-01-2025,12-02-2025,23-01-2025 au 12-02-2025,4322,22
176,45,F,culturel,Pérou,hiver,9,1,3389,Carte de crédit,3,21-11-2024,13-12-2024,21-11-2024 au 13-12-2024,1364,6
177,34,M,Culturel,Népal,automne,12,4,7171,Virement,1,12-01-2025,18-01-2025,12-01-2025 au 18-01-2025,2624,30
178,20,F,culturel,Bali,automne,14,3,9082,,2,21-06-2024,21-07-2024,21-06-2024 au 21-07-2024,6141,20
179,26,M,culturel,Australie,hiver,5,5,397,Virement,3,30-03-2024,19-04-2024,30-03-2024 au 19-04-2024,6179,17
180,28,F,culturel,Pérou,hiver,13,1,8175,Virement,2,05-02-2025,22-02-2025,05-02-2025 au 22-02-2025,5638,10
181,33,M,Culturel,Norvège,hiver,6,5,1010,Paypal,3,13-11-2024,23-11-2024,13-11-2024 au 23-11-2024,3550,23
182,50,F,aventure,France,printemps,16,1,9875,,2,27-02-2025,22-03-2025,27-02-2025 au 22-03-2025,4928,4
183,24,F,Aventure,Japon,été,8,4,2553,Virement,2,09-07-2024,13-07-2024,09-07-2024 au 13-07-2024,4995,5
184,44,,Culturel,Bali,été,8,2,2555,Carte de crédit,3,27-08-2024,01-09-2024,27-08-2024 au 01-09-2024,3262,11
185,19,,aventure,Népal,hiver,7,4,1729,Virement,3,01-07-2024,12-07-2024,01-07-2024 au 12-07-2024,7255,9
186,32,M,culturel,Bali,été,7,4,1739,Carte de crédit,1,23-11-2024,02-12-2024,23-11-2024 au 02-12-2024,6316,8
187,39,F,Culturel,Brésil,été,5,5,399,Virement,3,17-01-2025,25-01-2025,17-01-2025 au 25-01-2025,4669,24
188,39,F,détente,Vietnam,automne,10,2,4658,Virement,1,24-11-2024,18-12-2024,24-11-2024 au 18-12-2024,5040,8
189,25,Autre,aventure,Pérou,été,7,3,1752,,1,21-03-2025,29-03-2025,21-03-2025 au 29-03-2025,5313,6
190,38,F,Aventure,Népal,hiver,5,5,407,,3,16-12-2024,22-12-2024,16-12-2024 au 22-12-2024,1937,10
191,28,,Culturel,Costa Rica,automne,11,5,5951,Paypal,3,15-06-2024,25-06-2024,15-06-2024 au 25-06-2024,4629,7
192,18,Autre,culturel,Vietnam,automne,6,3,1014,Paypal,4,22-08-2024,29-08-2024,22-08-2024 au 29-08-2024,3977,12
193,23,M,culturel,Islande,automne,11,3,5951,,1,24-04-2024,06-05-2024,24-04-2024 au 06-05-2024,3498,17
194,29,F,détente,Norvège,printemps,13,3,8216,Paypal,3,13-12-2024,30-12-2024,13-12-2024 au 30-12-2024,4578,8
195,49,Autre,Détente,Maroc,automne,8,4,2563,,4,21-07-2024,29-07-2024,21-07-2024 au 29-07-2024,7697,28
196,20,,,Maroc,été,11,5,5952,Carte de crédit,3,01-10-2024,29-10-2024,01-10-2024 au 29-10-2024,5961,6
197,41,F,Aventure,Brésil,été,8,4,2579,Virement,2,11-07-2024,17-07-2024,11-07-2024 au 17-07-2024,4143,1
198,34,,détente,Vietnam,été,10,1,4664,Paypal,4,02-03-2025,03-03-2025,02-03-2025 au 03-03-2025,5859,22
199,29,,aventure,Australie,hiver,6,5,1023,Paypal,4,25-02-2025,19-03-2025,25-02-2025 au 19-03-2025,7099,17
200,34,Autre,aventure,Australie,printemps,10,2,4664,Carte de crédit,2,20-01-2025,06-02-2025,20-01-2025 au 06-02-2025,6387,1
201,21,Autre,Aventure,Pérou,hiver,6,5,1025,Virement,3,17-06-2024,18-06-2024,17-06-2024 au 18-06-2024,5089,21
202,28,,détente,Népal,automne,9,2,3417,Carte de crédit,5,01-03-2025,22-03-2025,01-03-2025 au 22-03-2025,4030,19
203,24,Autre,Aventure,Islande,automne,10,3,4664,,3,20-02-2025,11-03-2025,20-02-2025 au 11-03-2025,6047,14
