ID_Client,âge,genre,type de voyage,destination,saison de voyage,durée de voyage (en jours),nombre de personnes,prix total,mode de paiement,évaluation sur 5,date de début de voyage,date de fin de voyage,période de voyage,budget voyage annuel
57,39,Autre,culturel,France,hiver,12,2,6983,Virement,2,19-01-2024,23-01-2024,19-01-2024 au 23-01-2024,3751
58,18,Autre,aventure,Japon,été,13,4,8122,Carte de crédit,3,08-07-2023,13-07-2023,08-07-2023 au 13-07-2023,5707
59,18,M,culturel,France,été,16,4,9842,Carte de crédit,2,06-02-2024,11-02-2024,06-02-2024 au 11-02-2024,4172
60,20,M,culturel,Bali,hiver,10,1,4500,Carte de crédit,4,26-11-2023,28-11-2023,26-11-2023 au 28-11-2023,5949
61,43,Autre,détente,Bali,été,12,1,6986,Carte de crédit,2,30-06-2023,05-07-2023,30-06-2023 au 05-07-2023,5304
62,29,Autre,détente,France,hiver,9,4,3231,Virement,1,01-07-2023,05-07-2023,01-07-2023 au 05-07-2023,2726
63,38,Autre,détente,Népal,printemps,5,4,177,Carte de crédit,3,07-10-2023,10-10-2023,07-10-2023 au 10-10-2023,7321
64,38,F,culturel,Costa Rica,automne,7,3,1473,Virement,3,15-07-2023,19-07-2023,15-07-2023 au 19-07-2023,7694
65,41,F,détente,Bali,automne,8,2,2458,Virement,3,03-02-2024,05-02-2024,03-02-2024 au 05-02-2024,4081
66,39,F,détente,Norvège,été,8,3,2464,Paypal,2,29-04-2023,03-05-2023,29-04-2023 au 03-05-2023,4418
67,32,M,détente,Norvège,hiver,10,1,4541,Virement,4,01-07-2024,02-07-2024,16-08-2023 au 19-08-2023,5429
68,50,Autre,détente,Islande,printemps,12,1,6991,Virement,3,09-04-2023,13-04-2023,09-04-2023 au 13-04-2023,5502
69,28,M,détente,Costa Rica,automne,5,1,186,Virement,2,17-04-2023,19-04-2023,17-04-2023 au 19-04-2023,5988
70,18,M,aventure,Japon,été,10,1,4542,Virement,2,15-02-2024,18-02-2024,15-02-2024 au 18-02-2024,8015
71,35,F,détente,Népal,été,6,4,909,Virement,2,04-02-2024,08-02-2024,04-02-2024 au 08-02-2024,4735
72,56,F,détente,Japon,automne,6,1,910,Paypal,1,13-03-2024,18-03-2024,13-03-2024 au 18-03-2024,3803
73,38,F,culturel,France,hiver,6,4,933,Paypal,2,30-12-2023,31-12-2023,30-12-2023 au 31-12-2023,2931
74,33,Autre,culturel,Costa Rica,été,12,4,6994,Carte de crédit,1,12-10-2023,15-10-2023,12-10-2023 au 15-10-2023,3904
75,24,F,culturel,France,automne,8,1,2467,Paypal,4,21-06-2023,22-06-2023,21-06-2023 au 22-06-2023,4950
77,47,M,aventure,Costa Rica,hiver,7,2,1496,Paypal,3,12-02-2024,13-02-2024,12-02-2024 au 13-02-2024,4224
78,41,Autre,détente,Norvège,hiver,9,3,3251,Paypal,3,23-01-2024,27-01-2024,23-01-2024 au 27-01-2024,5336
79,56,F,aventure,Japon,été,9,1,3252,Carte de crédit,3,04-01-2024,05-01-2024,04-01-2024 au 05-01-2024,4975
80,23,M,culturel,France,été,11,2,5844,Paypal,3,04-10-2023,05-10-2023,04-10-2023 au 05-10-2023,6783
81,31,M,culturel,France,hiver,9,2,3256,Virement,1,15-02-2024,19-02-2024,15-02-2024 au 19-02-2024,8790
82,43,M,culturel,Islande,été,9,3,3266,Virement,4,08-03-2024,13-03-2024,08-03-2024 au 13-03-2024,4204
83,28,Autre,aventure,France,printemps,8,4,2468,Paypal,1,12-03-2024,13-03-2024,12-03-2024 au 13-03-2024,4266
84,29,F,aventure,Japon,été,14,1,9073,Paypal,3,04-07-2023,06-07-2023,04-07-2023 au 06-07-2023,6566
85,39,M,culturel,Bali,été,8,3,2469,Virement,4,09-12-2023,12-12-2023,09-12-2023 au 12-12-2023,6023
86,21,M,aventure,Costa Rica,printemps,9,1,3275,Virement,3,06-03-2024,07-03-2024,06-03-2024 au 07-03-2024,7770
87,40,Autre,culturel,Bali,printemps,10,2,4548,Carte de crédit,1,06-04-2023,08-04-2023,06-04-2023 au 08-04-2023,5876
88,47,Autre,aventure,Norvège,été,8,2,2475,Virement,4,26-03-2023,30-03-2023,26-03-2023 au 30-03-2023,4461
89,35,Autre,culturel,Islande,hiver,5,4,188,Virement,4,28-03-2023,02-04-2023,28-03-2023 au 02-04-2023,5886
90,44,F,aventure,France,hiver,5,2,192,Paypal,2,10-10-2023,12-10-2023,10-10-2023 au 12-10-2023,6663
91,42,Autre,culturel,Islande,automne,9,2,3276,Virement,3,15-11-2023,17-11-2023,15-11-2023 au 17-11-2023,6231
92,30,M,aventure,Costa Rica,été,10,3,4549,Virement,3,26-05-2023,28-05-2023,26-05-2023 au 28-05-2023,5761
93,26,F,culturel,Bali,été,9,1,3283,Virement,2,10-02-2024,11-02-2024,10-02-2024 au 11-02-2024,6600
94,43,M,aventure,France,printemps,10,1,4571,Paypal,1,25-11-2023,29-11-2023,25-11-2023 au 29-11-2023,6754
95,42,Autre,culturel,Japon,printemps,8,3,2484,Paypal,1,08-06-2023,12-06-2023,08-06-2023 au 12-06-2023,7073
96,40,Autre,culturel,Bali,hiver,8,4,2500,Virement,4,25-05-2023,26-05-2023,25-05-2023 au 26-05-2023,5973
97,34,F,détente,Japon,automne,10,1,4586,Paypal,2,02-01-2024,03-01-2024,02-01-2024 au 03-01-2024,4749
98,33,Autre,aventure,Norvège,printemps,9,2,3287,Carte de crédit,3,28-08-2023,31-08-2023,28-08-2023 au 31-08-2023,5220
99,37,Autre,détente,France,hiver,5,1,202,Carte de crédit,4,25-11-2023,30-11-2023,25-11-2023 au 30-11-2023,6810
100,43,F,aventure,Costa Rica,hiver,12,2,7007,Virement,2,01-07-2024,02-07-2024,16-08-2023 au 19-08-2023,3775
101,21,Autre,détente,Japon,hiver,5,4,240,Virement,2,04-05-2023,06-05-2023,04-05-2023 au 06-05-2023,5553
102,33,M,aventure,Népal,été,15,3,9574,Virement,2,12-04-2023,14-04-2023,12-04-2023 au 14-04-2023,4410
103,37,F,culturel,Bali,été,6,1,934,Paypal,2,10-03-2024,12-03-2024,10-03-2024 au 12-03-2024,5043
104,30,M,aventure,Bali,été,7,3,1576,Carte de crédit,3,15-10-2023,20-10-2023,15-10-2023 au 20-10-2023,6918
105,46,F,aventure,France,hiver,7,1,1577,Carte de crédit,4,07-09-2023,10-09-2023,07-09-2023 au 10-09-2023,5287
106,27,M,détente,Norvège,hiver,13,1,8131,Virement,2,23-01-2024,24-01-2024,23-01-2024 au 24-01-2024,5070
107,42,F,aventure,Costa Rica,printemps,14,2,9075,Virement,5,27-12-2023,01-01-2024,27-12-2023 au 01-01-2024,2960
108,32,Autre,aventure,Japon,hiver,7,2,1577,Virement,4,03-08-2023,05-08-2023,03-08-2023 au 05-08-2023,6119
109,33,M,culturel,Népal,été,12,1,7013,Carte de crédit,3,04-10-2023,07-10-2023,04-10-2023 au 07-10-2023,5968
110,45,Autre,aventure,Bali,printemps,5,4,248,Carte de crédit,2,16-08-2023,19-08-2023,16-08-2023 au 19-08-2023,4538
110,39,Autre,aventure,Bali,été,12,4,7026,Carte de crédit,2,16-08-2023,19-08-2023,16-08-2023 au 19-08-2023,5329
110,43,Autre,aventure,Bali,été,13,4,8140,Carte de crédit,4,16-08-2023,19-08-2023,16-08-2023 au 19-08-2023,8245
111,48,Autre,culturel,Népal,printemps,16,4,9848,Virement,3,16-01-2025,13-02-2025,16-01-2025 au 13-02-2025,5374
112,47,M,culturel,Népal,automne,12,1,7064,Carte de crédit,3,20-12-2024,22-12-2024,20-12-2024 au 22-12-2024,7366
113,32,Autre,culturel,Maroc,été,13,4,8147,Virement,2,24-08-2024,12-09-2024,24-08-2024 au 12-09-2024,4857
114,46,Autre,culturel,Norvège,hiver,10,3,4586,Virement,1,29-09-2024,30-09-2024,29-09-2024 au 30-09-2024,5419
115,26,F,culturel,Brésil,hiver,6,1,957,Virement,1,11-05-2024,02-06-2024,11-05-2024 au 02-06-2024,5912
116,27,Autre,culturel,Bali,hiver,10,2,4588,Paypal,2,20-06-2024,28-06-2024,20-06-2024 au 28-06-2024,5280
117,34,F,aventure,Norvège,printemps,10,3,4603,Virement,1,16-05-2024,11-06-2024,16-05-2024 au 11-06-2024,4330
118,64,M,culturel,Népal,printemps,8,5,2517,Virement,2,06-03-2025,21-03-2025,06-03-2025 au 21-03-2025,5291
119,48,Autre,culturel,Norvège,automne,12,1,7066,Virement,4,14-03-2025,15-03-2025,14-03-2025 au 15-03-2025,6610
120,23,F,aventure,Brésil,été,16,3,9868,Paypal,2,03-10-2024,04-10-2024,03-10-2024 au 04-10-2024,3460
121,28,Autre,aventure,Australie,hiver,9,4,3288,Virement,1,19-05-2024,16-06-2024,19-05-2024 au 16-06-2024,5199
122,26,F,détente,Australie,été,11,3,5844,Virement,4,31-01-2025,05-02-2025,31-01-2025 au 05-02-2025,3950
123,18,M,détente,Brésil,hiver,11,3,5866,Virement,3,10-01-2025,25-01-2025,10-01-2025 au 25-01-2025,6793
124,56,Autre,aventure,Maroc,automne,9,1,3308,Virement,2,03-12-2024,15-12-2024,03-12-2024 au 15-12-2024,2715
125,39,Autre,culturel,Brésil,hiver,5,4,252,Carte de crédit,2,24-02-2025,10-03-2025,24-02-2025 au 10-03-2025,4162
126,31,M,culturel,Bali,printemps,8,5,2520,Carte de crédit,1,07-09-2024,24-09-2024,07-09-2024 au 24-09-2024,5566
127,43,M,aventure,Norvège,été,7,2,1607,Paypal,1,12-09-2024,07-10-2024,12-09-2024 au 07-10-2024,7348
128,35,Autre,détente,Népal,hiver,12,3,7069,Paypal,1,15-01-2025,19-01-2025,15-01-2025 au 19-01-2025,4901
129,33,Autre,aventure,Brésil,hiver,10,5,4620,Virement,3,02-09-2024,11-09-2024,02-09-2024 au 11-09-2024,4167
130,30,Autre,aventure,Norvège,printemps,11,5,5876,Virement,2,11-06-2024,26-06-2024,11-06-2024 au 26-06-2024,7822
131,32,Autre,aventure,Australie,hiver,10,2,4623,Paypal,4,10-08-2024,24-08-2024,10-08-2024 au 24-08-2024,2828
132,39,M,aventure,Japon,automne,10,2,4625,Virement,5,14-09-2024,23-09-2024,14-09-2024 au 23-09-2024,1702
133,40,M,détente,Maroc,automne,9,3,3314,Carte de crédit,1,28-12-2024,01-01-2025,28-12-2024 au 01-01-2025,5660
134,36,Autre,culturel,Costa Rica,été,12,4,7076,Virement,3,22-08-2024,07-09-2024,22-08-2024 au 07-09-2024,4247
135,35,Autre,aventure,Pérou,automne,11,2,5915,Carte de crédit,4,22-02-2025,12-03-2025,22-02-2025 au 12-03-2025,3468
136,36,Autre,détente,Bali,automne,6,1,965,Paypal,2,07-10-2024,08-10-2024,07-10-2024 au 08-10-2024,6063
137,32,Autre,culturel,Vietnam,hiver,13,1,8149,Virement,2,07-02-2025,22-02-2025,07-02-2025 au 22-02-2025,5366
138,26,M,culturel,Bali,automne,6,5,970,Virement,2,21-06-2024,02-07-2024,21-06-2024 au 02-07-2024,4154
139,46,M,culturel,Bali,automne,15,4,9590,Virement,2,12-06-2024,21-06-2024,12-06-2024 au 21-06-2024,3080
140,29,F,détente,Islande,hiver,6,2,977,Paypal,1,07-02-2025,11-02-2025,07-02-2025 au 11-02-2025,6309
141,20,Autre,culturel,Bali,hiver,7,1,1656,Virement,2,09-09-2024,01-10-2024,09-09-2024 au 01-10-2024,5975
142,36,Autre,aventure,Vietnam,été,6,2,981,Virement,3,24-10-2024,07-11-2024,24-10-2024 au 07-11-2024,4851
143,28,M,détente,Bali,printemps,9,3,3332,Virement,3,28-08-2024,23-09-2024,28-08-2024 au 23-09-2024,7770
144,18,M,culturel,Bali,été,12,2,7081,Virement,4,02-02-2025,23-02-2025,02-02-2025 au 23-02-2025,3395
145,47,F,détente,Pérou,printemps,18,2,9959,Virement,5,25-10-2024,12-11-2024,25-10-2024 au 12-11-2024,2712
146,36,Autre,culturel,Pérou,hiver,9,5,3349,Virement,3,15-08-2024,17-08-2024,15-08-2024 au 17-08-2024,3962
147,18,Autre,culturel,Australie,été,7,4,1679,Virement,1,23-02-2025,24-03-2025,23-02-2025 au 24-03-2025,4932
148,41,Autre,culturel,Népal,printemps,10,2,4628,Virement,3,20-03-2025,22-03-2025,20-03-2025 au 22-03-2025,5365
149,19,F,aventure,Australie,été,9,5,3372,Virement,4,03-12-2024,12-12-2024,03-12-2024 au 12-12-2024,4638
150,29,Autre,culturel,Bali,automne,5,1,267,Virement,2,16-07-2024,24-07-2024,16-07-2024 au 24-07-2024,5528
151,18,F,culturel,Islande,hiver,6,4,984,Carte de crédit,4,26-08-2024,27-08-2024,26-08-2024 au 27-08-2024,3123
152,31,Autre,détente,Népal,printemps,11,2,5919,Paypal,2,04-07-2024,24-07-2024,04-07-2024 au 24-07-2024,7166
153,22,F,culturel,Pérou,été,7,4,1693,Carte de crédit,2,01-07-2024,14-07-2024,01-07-2024 au 14-07-2024,4877
154,41,Autre,aventure,Brésil,automne,12,5,7129,Virement,2,21-10-2024,06-11-2024,21-10-2024 au 06-11-2024,6676
155,38,Autre,aventure,Maroc,automne,10,3,4638,Virement,1,28-06-2024,25-07-2024,28-06-2024 au 25-07-2024,5514
156,56,F,détente,Vietnam,été,8,3,2541,Paypal,4,20-02-2025,08-03-2025,20-02-2025 au 08-03-2025,5685
157,22,Autre,culturel,France,printemps,9,4,3375,Virement,1,15-02-2025,22-02-2025,15-02-2025 au 22-02-2025,5855
158,40,Autre,aventure,France,printemps,5,3,308,Carte de crédit,2,23-12-2024,22-01-2025,23-12-2024 au 22-01-2025,5672
159,41,F,culturel,Bali,automne,15,3,9620,Virement,2,13-10-2024,30-10-2024,13-10-2024 au 30-10-2024,5964
160,45,Autre,aventure,Australie,hiver,11,1,5928,Paypal,4,15-02-2025,07-03-2025,15-02-2025 au 07-03-2025,6994
161,25,Autre,détente,Costa Rica,hiver,5,4,338,Paypal,1,05-01-2025,23-01-2025,05-01-2025 au 23-01-2025,5295
162,22,Autre,culturel,Costa Rica,automne,10,2,4643,Virement,3,16-06-2024,01-07-2024,16-06-2024 au 01-07-2024,6064
163,21,M,culturel,Norvège,été,10,4,4646,Carte de crédit,1,02-08-2024,13-08-2024,02-08-2024 au 13-08-2024,4865
164,53,F,culturel,Bali,automne,5,1,344,Carte de crédit,2,07-09-2024,11-09-2024,07-09-2024 au 11-09-2024,7160
165,26,Autre,détente,Islande,automne,12,1,7130,Carte de crédit,2,11-04-2024,26-04-2024,11-04-2024 au 26-04-2024,3985
166,49,F,culturel,Pérou,été,7,3,1713,Carte de crédit,2,25-02-2025,23-03-2025,25-02-2025 au 23-03-2025,7701
167,40,F,culturel,Pérou,printemps,11,5,5940,Carte de crédit,1,18-05-2024,31-05-2024,18-05-2024 au 31-05-2024,4940
168,48,F,détente,Vietnam,hiver,9,5,3378,Virement,1,11-05-2024,22-05-2024,11-05-2024 au 22-05-2024,2854
169,18,F,culturel,Costa Rica,hiver,13,2,8151,Virement,3,08-07-2024,15-07-2024,08-07-2024 au 15-07-2024,5192
170,43,Autre,aventure,Népal,été,12,1,7145,Paypal,3,30-01-2025,01-02-2025,30-01-2025 au 01-02-2025,3978
171,29,F,culturel,Brésil,été,8,1,2548,Virement,1,23-08-2024,18-09-2024,23-08-2024 au 18-09-2024,6261
172,29,M,aventure,Norvège,automne,13,4,8155,Virement,2,08-09-2024,19-09-2024,08-09-2024 au 19-09-2024,4021
173,34,F,détente,Brésil,hiver,10,1,4656,Carte de crédit,2,17-08-2024,09-09-2024,17-08-2024 au 09-09-2024,4331
174,30,F,détente,Pérou,été,7,2,1715,Carte de crédit,1,24-02-2025,02-03-2025,24-02-2025 au 02-03-2025,2166
175,34,Autre,aventure,Brésil,hiver,5,1,387,Carte de crédit,2,23-01-2025,12-02-2025,23-01-2025 au 12-02-2025,4322
176,45,F,culturel,Pérou,hiver,9,1,3389,Carte de crédit,3,21-11-2024,13-12-2024,21-11-2024 au 13-12-2024,1364
177,34,M,culturel,Népal,automne,12,4,7171,Virement,1,12-01-2025,18-01-2025,12-01-2025 au 18-01-2025,2624
178,20,F,culturel,Bali,automne,14,3,9082,Virement,2,21-06-2024,21-07-2024,21-06-2024 au 21-07-2024,6141
179,26,M,culturel,Australie,hiver,5,5,397,Virement,3,30-03-2024,19-04-2024,30-03-2024 au 19-04-2024,6179
180,28,F,culturel,Pérou,hiver,13,1,8175,Virement,2,05-02-2025,22-02-2025,05-02-2025 au 22-02-2025,5638
181,33,M,culturel,Norvège,hiver,6,5,1010,Paypal,3,13-11-2024,23-11-2024,13-11-2024 au 23-11-2024,3550
182,50,F,aventure,France,printemps,16,1,9875,Virement,2,27-02-2025,22-03-2025,27-02-2025 au 22-03-2025,4928
183,24,F,aventure,Japon,été,8,4,2553,Virement,2,09-07-2024,13-07-2024,09-07-2024 au 13-07-2024,4995
184,44,Autre,culturel,Bali,été,8,2,2555,Carte de crédit,3,27-08-2024,01-09-2024,27-08-2024 au 01-09-2024,3262
185,19,Autre,aventure,Népal,hiver,7,4,1729,Virement,3,01-07-2024,12-07-2024,01-07-2024 au 12-07-2024,7255
186,32,M,culturel,Bali,été,7,4,1739,Carte de crédit,1,23-11-2024,02-12-2024,23-11-2024 au 02-12-2024,6316
187,39,F,culturel,Brésil,été,5,5,399,Virement,3,17-01-2025,25-01-2025,17-01-2025 au 25-01-2025,4669
188,39,F,détente,Vietnam,automne,10,2,4658,Virement,1,24-11-2024,18-12-2024,24-11-2024 au 18-12-2024,5040
189,25,Autre,aventure,Pérou,été,7,3,1752,Virement,1,21-03-2025,29-03-2025,21-03-2025 au 29-03-2025,5313
190,38,F,aventure,Népal,hiver,5,5,407,Virement,3,16-12-2024,22-12-2024,16-12-2024 au 22-12-2024,1937
191,28,Autre,culturel,Costa Rica,automne,11,5,5951,Paypal,3,15-06-2024,25-06-2024,15-06-2024 au 25-06-2024,4629
192,18,Autre,culturel,Vietnam,automne,6,3,1014,Paypal,4,22-08-2024,29-08-2024,22-08-2024 au 29-08-2024,3977
193,23,M,culturel,Islande,automne,11,3,5951,Virement,1,24-04-2024,06-05-2024,24-04-2024 au 06-05-2024,3498
194,29,F,détente,Norvège,printemps,13,3,8216,Paypal,3,13-12-2024,30-12-2024,13-12-2024 au 30-12-2024,4578
195,49,Autre,détente,Maroc,automne,8,4,2563,Virement,4,21-07-2024,29-07-2024,21-07-2024 au 29-07-2024,7697
196,20,Autre,culturel,Maroc,été,11,5,5952,Carte de crédit,3,01-10-2024,29-10-2024,01-10-2024 au 29-10-2024,5961
197,41,F,aventure,Brésil,été,8,4,2579,Virement,2,11-07-2024,17-07-2024,11-07-2024 au 17-07-2024,4143
198,34,Autre,détente,Vietnam,été,10,1,4664,Paypal,4,02-03-2025,03-03-2025,02-03-2025 au 03-03-2025,5859
199,29,Autre,aventure,Australie,hiver,6,5,1023,Paypal,4,25-02-2025,19-03-2025,25-02-2025 au 19-03-2025,7099
200,34,Autre,aventure,Australie,printemps,10,2,4664,Carte de crédit,2,20-01-2025,06-02-2025,20-01-2025 au 06-02-2025,6387
201,21,Autre,aventure,Pérou,hiver,6,5,1025,Virement,3,17-06-2024,18-06-2024,17-06-2024 au 18-06-2024,5089
202,28,Autre,détente,Népal,automne,9,2,3417,Carte de crédit,5,01-03-2025,22-03-2025,01-03-2025 au 22-03-2025,4030
203,24,Autre,aventure,Islande,automne,10,3,4664,Virement,3,20-02-2025,11-03-2025,20-02-2025 au 11-03-2025,6047
204,44,M,détente,Népal,automne,6,3,1025,Virement,3,24-01-2025,07-02-2025,24-01-2025 au 07-02-2025,5590
205,30,Autre,culturel,Maroc,été,12,3,7178,Carte de crédit,2,08-03-2025,22-03-2025,08-03-2025 au 22-03-2025,6343
206,49,M,détente,France,hiver,7,2,1755,Virement,3,27-08-2024,30-08-2024,27-08-2024 au 30-08-2024,5953
207,29,F,aventure,Brésil,hiver,9,1,3418,Virement,3,04-12-2024,26-12-2024,04-12-2024 au 26-12-2024,6574
208,36,Autre,culturel,Maroc,été,7,2,1773,Paypal,3,10-07-2024,15-07-2024,10-07-2024 au 15-07-2024,4197
209,47,Autre,aventure,Vietnam,été,15,4,9649,Virement,1,14-09-2024,22-09-2024,14-09-2024 au 22-09-2024,6976
210,33,F,aventure,Maroc,automne,5,3,413,Virement,3,11-10-2024,29-10-2024,11-10-2024 au 29-10-2024,5296
211,44,M,aventure,Brésil,automne,10,1,4664,Paypal,3,27-07-2024,01-08-2024,27-07-2024 au 01-08-2024,8113
212,26,Autre,détente,Australie,été,5,5,420,Paypal,2,19-07-2024,13-08-2024,19-07-2024 au 13-08-2024,3966
