Index;metier;sexe;enfant_conduite_accompagne;tranche_revenus;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;Tranche_age;Tranche_tarif_devis
177;"testeur";"F";False;"0 - 20 k";"Commercial";"Van";0;12;"Highly Urban/ Urban";2022-02-16 23:39:17,000;"complet";"dev_express";"40 - 60";"200 - 299"
178;"auteur-compositeur interprète interprète";"M";False;"0 - 20 k";"Private";"Sports Car";0;16;"Highly Urban/ Urban";2022-01-01 22:26:24,000;"complet";"dev_express";"25 - 40";"200 - 299"
200;"horloger";"F";False;"20k - 40k";"Commercial";"Minivan";0;0;"z_Highly Rural/ Rural";2022-02-10 21:22:48,000;"complet";"dev_express";"60 - 80";"200 - 299"
206;"contrôleur technique automobile";"M";False;"40k - 60k";"Commercial";"Minivan";0;1;"Highly Urban/ Urban";2022-03-23 00:19:13,000;"complet";"dev_express";"40 - 60";"200 - 299"
208;"vendeur-conseil en matériel agricole";"M";False;"20k - 40k";"Private";"Minivan";0;12;"z_Highly Rural/ Rural";2022-02-04 03:00:54,000;"complet";"dev_express";"40 - 60";"200 - 299"
232;"ingénieur gaz";"M";True;"60k - 80k";"Private";"Minivan";0;7;"Highly Urban/ Urban";2022-05-04 06:00:27,000;"complet";"dev_express";"";"200 - 299"
241;"ingénieur chimiste";"F";False;"60k - 80k";"Private";"Minivan";0;15;"Highly Urban/ Urban";2022-05-24 09:47:23,000;"complet";"dev_express";"40 - 60";"200 - 299"
242;"reporter-photographe";"M";False;"80k - 100k";"Commercial";"z_SUV";0;7;"Highly Urban/ Urban";2022-02-25 23:45:51,000;"complet";"dev_express";"60 - 80";"200 - 299"
243;"ingénieur en fonderie";"F";False;"0 - 20 k";"Commercial";"Pickup";0;11;"Highly Urban/ Urban";2022-03-29 07:38:59,000;"complet";"dev_express";"80";"200 - 299"
254;"correcteur";"F";False;"100k +";"Private";"Van";0;18;"Highly Urban/ Urban";2022-02-13 22:32:54,000;"complet";"dev_express";"40 - 60";"200 - 299"
258;"ingénieur chimiste en développement analytique";"F";True;"20k - 40k";"Private";"Minivan";0;5;"Highly Urban/ Urban";2022-02-05 06:43:03,000;"complet";"dev_express";"18 - 25";"200 - 299"
274;"animateur de bassin versant";"M";False;"60k - 80k";"Private";"Van";0;1;"Highly Urban/ Urban";2022-01-06 19:41:51,000;"complet";"dev_express";"18 - 25";"200 - 299"
289;"orthoprothésiste";"F";False;"100k +";"Commercial";"Panel Truck";0;17;"Highly Urban/ Urban";2022-02-15 23:56:38,000;"complet";"dev_express";"60 - 80";"200 - 299"
303;"géomètre-topographe";"F";False;"0 - 20 k";"Private";"z_SUV";0;1;"z_Highly Rural/ Rural";2022-05-13 22:59:22,000;"complet";"dev_express";"40 - 60";"200 - 299"
305;"conducteur opérateur opératrice de scierie";"F";False;"40k - 60k";"Private";"Pickup";0;10;"z_Highly Rural/ Rural";2022-03-03 14:18:18,000;"complet";"dev_express";"60 - 80";"200 - 299"
306;"conducteur routier routière";"F";False;"100k +";"Private";"Sports Car";0;12;"Highly Urban/ Urban";2022-01-26 19:37:12,000;"complet";"dev_express";"60 - 80";"200 - 299"
308;"animateur de radio et de télévision";"F";False;"0 - 20 k";"Private";"z_SUV";0;3;"Highly Urban/ Urban";2022-05-25 07:24:02,000;"complet";"dev_express";"60 - 80";"200 - 299"
311;"bibliothécaire";"F";False;"0 - 20 k";"Commercial";"Minivan";0;11;"z_Highly Rural/ Rural";2022-05-02 00:05:58,000;"complet";"dev_express";"40 - 60";"200 - 299"
312;"responsable du back office";"M";False;"40k - 60k";"Commercial";"Sports Car";0;7;"Highly Urban/ Urban";2022-05-18 16:18:06,000;"complet";"dev_express";"25 - 40";"200 - 299"
315;"chirurgien";"M";False;"0 - 20 k";"Commercial";"Panel Truck";0;12;"Highly Urban/ Urban";2022-05-26 12:01:30,000;"complet";"dev_express";"60 - 80";"200 - 299"
319;"ingénieur nucléaire";"F";False;"0 - 20 k";"Private";"z_SUV";0;5;"z_Highly Rural/ Rural";2022-01-24 04:40:38,000;"complet";"dev_express";"40 - 60";"200 - 299"
332;"coloriste";"M";True;"20k - 40k";"Private";"Minivan";0;1;"Highly Urban/ Urban";2022-02-14 20:28:51,000;"complet";"dev_express";"60 - 80";"200 - 299"
333;"assistant commercial commerciale";"M";False;"20k - 40k";"Private";"Sports Car";0;4;"Highly Urban/ Urban";2022-02-21 01:00:18,000;"complet";"dev_express";"25 - 40";"200 - 299"
336;"chef de projet sites et sols pollués";"F";False;"80k - 100k";"Private";"z_SUV";0;20;"Highly Urban/ Urban";2022-03-31 08:06:25,000;"complet";"dev_express";"40 - 60";"200 - 299"
349;"assistant réalisateur réalisatrice";"F";False;"0 - 20 k";"Private";"Minivan";0;10;"Highly Urban/ Urban";2022-04-30 22:26:44,000;"complet";"dev_express";"80";"200 - 299"
359;"directeur artistique";"M";False;"20k - 40k";"Private";"Pickup";0;17;"Highly Urban/ Urban";2022-05-24 02:16:40,000;"complet";"dev_express";"";"200 - 299"
368;"conducteur de travaux  agricoles";"F";False;"100k +";"Private";"z_SUV";0;9;"Highly Urban/ Urban";2022-02-19 18:27:38,000;"complet";"dev_express";"60 - 80";"200 - 299"
369;"commerçant en alimentation";"F";False;"20k - 40k";"Private";"Minivan";0;7;"z_Highly Rural/ Rural";2022-01-10 09:54:06,000;"complet";"dev_express";"60 - 80";"200 - 299"
371;"conducteur de train";"F";True;"0 - 20 k";"Private";"z_SUV";0;10;"Highly Urban/ Urban";2022-01-03 08:13:56,000;"complet";"dev_express";"25 - 40";"200 - 299"
389;"consultant en informatique décisionnelle";"M";False;"20k - 40k";"Private";"z_SUV";0;5;"z_Highly Rural/ Rural";2022-01-07 02:54:30,000;"complet";"dev_express";"25 - 40";"200 - 299"
390;"agenceur de cuisines et salles de bains";"M";False;"100k +";"Private";"Minivan";0;16;"Highly Urban/ Urban";2022-02-23 11:01:49,000;"complet";"dev_express";"60 - 80";"200 - 299"
395;"vendeur conseil caviste";"F";False;"100k +";"Private";"Van";0;3;"Highly Urban/ Urban";2022-03-13 10:59:15,000;"complet";"dev_express";"60 - 80";"200 - 299"
404;"chargé des relations publiques";"M";False;"100k +";"Commercial";"Panel Truck";0;16;"Highly Urban/ Urban";2022-01-29 06:11:36,000;"complet";"dev_express";"60 - 80";"200 - 299"
412;"enseignant d'art";"M";False;"100k +";"Private";"Sports Car";0;14;"Highly Urban/ Urban";2022-03-26 22:33:03,000;"complet";"dev_express";"40 - 60";"200 - 299"
416;"agent arboricole";"F";False;"20k - 40k";"Private";"Pickup";0;0;"Highly Urban/ Urban";2022-03-31 03:07:24,000;"complet";"dev_express";"40 - 60";"200 - 299"
425;"accompagnateur en moyenne montagne";"F";False;"80k - 100k";"Private";"Sports Car";0;12;"Highly Urban/ Urban";2022-04-28 19:59:16,000;"complet";"dev_express";"80";"200 - 299"
433;"coloriste";"F";False;"20k - 40k";"Private";"Minivan";0;15;"Highly Urban/ Urban";2022-04-29 09:35:22,000;"complet";"dev_express";"";"200 - 299"
435;"directeur d'hôtel";"F";False;"0 - 20 k";"Commercial";"Pickup";0;1;"Highly Urban/ Urban";2022-04-01 04:04:04,000;"complet";"dev_express";"40 - 60";"200 - 299"
443;"statisticien";"F";False;"40k - 60k";"Commercial";"z_SUV";0;7;"Highly Urban/ Urban";2022-03-09 21:30:33,000;"complet";"dev_express";"80";"200 - 299"
449;"expert automobile";"F";False;"60k - 80k";"Private";"Sports Car";0;12;"Highly Urban/ Urban";2022-01-06 12:56:42,000;"complet";"dev_express";"80";"200 - 299"
453;"responsable du soutien logistique intégré";"M";False;"60k - 80k";"Commercial";"Van";0;4;"Highly Urban/ Urban";2022-03-22 17:53:29,000;"complet";"dev_express";"25 - 40";"200 - 299"
454;"responsable du service après-vente";"F";False;"40k - 60k";"Commercial";"Minivan";0;10;"Highly Urban/ Urban";2022-05-09 14:13:00,000;"complet";"dev_express";"18 - 25";"200 - 299"
461;"conseiller en voyages";"M";False;"80k - 100k";"Commercial";"Panel Truck";0;12;"Highly Urban/ Urban";2022-02-17 11:06:56,000;"complet";"dev_express";"25 - 40";"200 - 299"
465;"plâtrier";"F";True;"100k +";"Commercial";"Van";0;0;"Highly Urban/ Urban";2022-05-11 14:01:10,000;"complet";"dev_express";"";"200 - 299"
481;"designer industriel industrielle";"F";False;"60k - 80k";"Private";"z_SUV";0;0;"Highly Urban/ Urban";2022-03-01 18:29:52,000;"complet";"dev_express";"18 - 25";"200 - 299"
488;"avocat";"M";False;"20k - 40k";"Commercial";"Minivan";0;8;"Highly Urban/ Urban";2022-05-16 00:02:55,000;"complet";"dev_express";"25 - 40";"200 - 299"
499;"affûteur";"M";False;"60k - 80k";"Private";"Pickup";0;0;"Highly Urban/ Urban";2022-05-10 07:12:09,000;"complet";"dev_express";"";"200 - 299"
500;"régisseur de spectacles";"F";False;"100k +";"Private";"Minivan";0;15;"Highly Urban/ Urban";2022-03-14 05:41:38,000;"complet";"dev_express";"40 - 60";"200 - 299"
503;"verrier au chalumeau";"F";False;"20k - 40k";"Commercial";"Pickup";0;1;"Highly Urban/ Urban";2022-05-14 00:58:28,000;"complet";"dev_express";"40 - 60";"200 - 299"
508;"commercial export";"F";False;"100k +";"Private";"Minivan";0;13;"Highly Urban/ Urban";2022-03-30 17:24:37,000;"complet";"dev_express";"40 - 60";"200 - 299"
509;"technicien réalisateur réalisatrice radio";"F";False;"60k - 80k";"Private";"z_SUV";0;1;"Highly Urban/ Urban";2022-01-21 20:42:50,000;"complet";"dev_express";"40 - 60";"200 - 299"
513;"veilleur stratégique";"M";False;"60k - 80k";"Private";"Minivan";0;21;"Highly Urban/ Urban";2022-04-04 15:50:44,000;"complet";"dev_express";"40 - 60";"200 - 299"
516;"chargé de recherche et développement déchets";"F";False;"100k +";"Commercial";"Panel Truck";0;11;"Highly Urban/ Urban";2022-03-25 13:33:27,000;"complet";"dev_express";"25 - 40";"200 - 299"
525;"concepteur multimédia";"M";False;"0 - 20 k";"Commercial";"Pickup";0;1;"Highly Urban/ Urban";2022-02-19 08:11:18,000;"complet";"dev_express";"25 - 40";"200 - 299"
528;"adjoint administratif administrative";"M";False;"40k - 60k";"Private";"Sports Car";0;0;"Highly Urban/ Urban";2022-05-28 16:47:33,000;"complet";"dev_express";"80";"200 - 299"
529;"psychologue";"F";False;"20k - 40k";"Private";"Minivan";0;9;"Highly Urban/ Urban";2022-05-18 20:48:36,000;"complet";"dev_express";"60 - 80";"200 - 299"
555;"community manager";"M";False;"0 - 20 k";"Private";"Minivan";0;1;"z_Highly Rural/ Rural";2022-04-03 06:29:36,000;"complet";"dev_express";"";"200 - 299"
559;"chef de produit touristique";"M";False;"40k - 60k";"Private";"Minivan";0;19;"Highly Urban/ Urban";2022-03-09 14:39:32,000;"complet";"dev_express";"";"200 - 299"
565;"web-ergonome";"F";False;"0 - 20 k";"Private";"z_SUV";0;9;"Highly Urban/ Urban";2022-05-16 05:07:27,000;"complet";"dev_express";"40 - 60";"200 - 299"
573;"géotechnicien";"F";False;"0 - 20 k";"Private";"Pickup";0;17;"z_Highly Rural/ Rural";2022-05-31 11:14:25,000;"complet";"dev_express";"";"200 - 299"
580;"ingénieur plasturgiste";"M";False;"0 - 20 k";"Commercial";"Panel Truck";0;10;"Highly Urban/ Urban";2022-01-25 19:36:43,000;"complet";"dev_express";"40 - 60";"200 - 299"
588;"maquettiste";"M";True;"0 - 20 k";"Private";"z_SUV";0;1;"z_Highly Rural/ Rural";2022-04-27 20:44:46,000;"complet";"dev_express";"25 - 40";"200 - 299"
589;"chef de projet packaging";"F";False;"20k - 40k";"Private";"Pickup";0;1;"Highly Urban/ Urban";2022-04-23 04:43:46,000;"complet";"dev_express";"60 - 80";"200 - 299"
602;"développeur d'applications mobiles";"M";False;"100k +";"Commercial";"Panel Truck";0;6;"Highly Urban/ Urban";2022-05-10 21:14:19,000;"complet";"dev_express";"60 - 80";"200 - 299"
608;"assistant maternel maternelle";"F";False;"20k - 40k";"Commercial";"z_SUV";0;7;"z_Highly Rural/ Rural";2022-05-28 05:50:47,000;"complet";"dev_express";"";"200 - 299"
620;"responsable de rémunération";"F";False;"100k +";"Commercial";"Panel Truck";0;17;"z_Highly Rural/ Rural";2022-01-08 16:09:39,000;"complet";"dev_express";"";"200 - 299"
627;"commissaire-priseur";"M";False;"100k +";"Private";"Minivan";0;13;"Highly Urban/ Urban";2022-04-14 05:42:42,000;"complet";"dev_express";"";"200 - 299"
645;"conducteur de bus ou d'autocar";"M";False;"100k +";"Private";"Minivan";0;25;"Highly Urban/ Urban";2022-03-08 23:49:55,000;"complet";"dev_express";"60 - 80";"200 - 299"
673;"barman";"M";False;"20k - 40k";"Commercial";"Minivan";0;1;"z_Highly Rural/ Rural";2022-01-08 08:43:16,000;"complet";"dev_express";"60 - 80";"200 - 299"
680;"credit manager";"M";False;"20k - 40k";"Private";"z_SUV";0;8;"z_Highly Rural/ Rural";2022-01-14 17:48:47,000;"complet";"dev_express";"60 - 80";"200 - 299"
683;"charcutier-traiteur";"F";False;"80k - 100k";"Private";"z_SUV";0;11;"Highly Urban/ Urban";2022-03-09 00:05:26,000;"complet";"dev_express";"";"200 - 299"
684;"technicien démonstrateur démonstratrice en matériel agricole";"M";False;"100k +";"Private";"Minivan";0;1;"Highly Urban/ Urban";2022-03-15 22:50:48,000;"complet";"dev_express";"60 - 80";"200 - 299"
686;"matelot de la Marine Nationale";"M";False;"60k - 80k";"Commercial";"Minivan";0;3;"Highly Urban/ Urban";2022-03-08 11:24:19,000;"complet";"dev_express";"60 - 80";"200 - 299"
693;"chargé d'études économiques";"M";False;"40k - 60k";"Private";"Minivan";0;11;"Highly Urban/ Urban";2022-04-25 12:32:19,000;"complet";"dev_express";"40 - 60";"200 - 299"
701;"coordonnateur d'études cliniques";"M";False;"40k - 60k";"Private";"z_SUV";0;5;"Highly Urban/ Urban";2022-02-19 06:28:01,000;"complet";"dev_express";"60 - 80";"200 - 299"
705;"consultant en conduite de changement";"F";False;"20k - 40k";"Private";"Minivan";0;1;"Highly Urban/ Urban";2022-05-20 20:22:14,000;"complet";"dev_express";"";"200 - 299"
708;"chargé d'études en valorisation agricole des déchets";"F";False;"60k - 80k";"Private";"Sports Car";0;10;"Highly Urban/ Urban";2022-03-04 16:27:18,000;"complet";"dev_express";"";"200 - 299"
711;"directeur de restaurant";"F";False;"100k +";"Private";"Van";0;1;"Highly Urban/ Urban";2022-01-26 05:48:18,000;"complet";"dev_express";"60 - 80";"200 - 299"
717;"agent de développement touristique";"M";False;"0 - 20 k";"Private";"z_SUV";0;9;"z_Highly Rural/ Rural";2022-03-07 01:05:15,000;"complet";"dev_express";"40 - 60";"200 - 299"
718;"architecte d'intérieur";"M";False;"0 - 20 k";"Private";"z_SUV";0;5;"Highly Urban/ Urban";2022-05-29 02:01:00,000;"complet";"dev_express";"60 - 80";"200 - 299"
724;"agent d'escale";"F";False;"40k - 60k";"Commercial";"Pickup";0;17;"Highly Urban/ Urban";2022-02-19 13:54:09,000;"complet";"dev_express";"";"200 - 299"
742;"sapeur-pompier";"M";False;"40k - 60k";"Commercial";"Minivan";0;8;"Highly Urban/ Urban";2022-03-13 10:35:02,000;"complet";"dev_express";"60 - 80";"200 - 299"
748;"ingénieur production en aéronautique";"F";False;"40k - 60k";"Private";"Minivan";0;20;"Highly Urban/ Urban";2022-03-09 04:34:25,000;"complet";"dev_express";"25 - 40";"200 - 299"
781;"substitut du procureur";"M";False;"60k - 80k";"Commercial";"Panel Truck";0;16;"Highly Urban/ Urban";2022-04-12 05:10:45,000;"complet";"dev_express";"60 - 80";"200 - 299"
788;"directeur de création";"M";False;"60k - 80k";"Commercial";"Sports Car";0;1;"Highly Urban/ Urban";2022-03-06 16:17:43,000;"complet";"dev_express";"60 - 80";"200 - 299"
789;"gardien de police municipale";"M";False;"40k - 60k";"Private";"Minivan";0;12;"Highly Urban/ Urban";2022-01-06 06:25:05,000;"complet";"dev_express";"40 - 60";"200 - 299"
793;"libraire";"F";False;"40k - 60k";"Private";"Minivan";0;9;"z_Highly Rural/ Rural";2022-01-24 05:53:36,000;"complet";"dev_express";"80";"200 - 299"
804;"directeur de magasin à grande surface";"F";False;"60k - 80k";"Commercial";"Panel Truck";0;15;"Highly Urban/ Urban";2022-03-28 01:51:32,000;"complet";"dev_express";"40 - 60";"200 - 299"
818;"conseiller espace info-énergie";"M";False;"100k +";"Private";"z_SUV";0;17;"Highly Urban/ Urban";2022-03-13 23:40:09,000;"complet";"dev_express";"60 - 80";"200 - 299"
822;"salesman";"M";False;"40k - 60k";"Commercial";"Van";0;10;"Highly Urban/ Urban";2022-04-02 07:37:34,000;"complet";"dev_express";"40 - 60";"200 - 299"
834;"ingénieur essais";"F";False;"80k - 100k";"Commercial";"Panel Truck";0;10;"Highly Urban/ Urban";2022-04-04 00:54:06,000;"complet";"dev_express";"";"200 - 299"
839;"chargé de production";"M";False;"20k - 40k";"Private";"Van";0;6;"Highly Urban/ Urban";2022-05-14 09:17:35,000;"complet";"dev_express";"40 - 60";"200 - 299"
855;"gardien de police municipale";"M";True;"0 - 20 k";"Private";"z_SUV";0;5;"Highly Urban/ Urban";2022-05-14 23:10:17,000;"complet";"dev_express";"";"200 - 299"
859;"paysagiste";"M";False;"60k - 80k";"Private";"z_SUV";0;8;"Highly Urban/ Urban";2022-05-14 03:38:14,000;"complet";"dev_express";"40 - 60";"200 - 299"
866;"horticulteur";"F";False;"40k - 60k";"Commercial";"z_SUV";0;12;"Highly Urban/ Urban";2022-02-04 19:41:35,000;"complet";"dev_express";"";"200 - 299"
872;"agent de transit";"M";False;"40k - 60k";"Commercial";"Pickup";0;1;"Highly Urban/ Urban";2022-03-24 15:49:56,000;"complet";"dev_express";"80";"200 - 299"
875;"horticulteur";"M";False;"40k - 60k";"Commercial";"Minivan";0;10;"Highly Urban/ Urban";2022-01-13 05:16:18,000;"complet";"dev_express";"40 - 60";"200 - 299"
877;"statisticien en analyse sensorielle";"F";False;"100k +";"Private";"Minivan";0;11;"z_Highly Rural/ Rural";2022-01-18 19:42:23,000;"complet";"dev_express";"40 - 60";"200 - 299"
879;"ingénieur télécoms et réseaux";"F";False;"0 - 20 k";"Commercial";"Pickup";0;15;"Highly Urban/ Urban";2022-04-24 13:56:48,000;"complet";"dev_express";"60 - 80";"200 - 299"
882;"ingénieur logiciel";"M";False;"0 - 20 k";"Private";"Pickup";0;8;"z_Highly Rural/ Rural";2022-02-05 23:52:53,000;"complet";"dev_express";"60 - 80";"200 - 299"
886;"responsable du service après-vente";"M";False;"20k - 40k";"Commercial";"z_SUV";0;1;"Highly Urban/ Urban";2022-03-26 15:22:17,000;"complet";"dev_express";"18 - 25";"200 - 299"
895;"agent de propreté urbaine";"F";False;"80k - 100k";"Private";"z_SUV";0;1;"z_Highly Rural/ Rural";2022-05-02 13:16:37,000;"complet";"dev_express";"25 - 40";"200 - 299"
901;"collecteur de fonds";"M";True;"0 - 20 k";"Commercial";"z_SUV";0;8;"z_Highly Rural/ Rural";2022-02-21 08:59:46,000;"complet";"dev_express";"18 - 25";"200 - 299"
902;"conducteur de machines à papier";"F";True;"60k - 80k";"Private";"Pickup";0;11;"Highly Urban/ Urban";2022-05-20 20:26:28,000;"complet";"dev_express";"25 - 40";"200 - 299"
912;"documentaliste";"M";False;"60k - 80k";"Commercial";"z_SUV";0;11;"Highly Urban/ Urban";2022-05-12 14:06:23,000;"complet";"dev_express";"60 - 80";"200 - 299"
914;"webmestre";"F";True;"0 - 20 k";"Private";"Minivan";0;0;"Highly Urban/ Urban";2022-05-20 20:57:52,000;"complet";"dev_express";"40 - 60";"200 - 299"
916;"économe de flux";"F";True;"20k - 40k";"Private";"Minivan";0;6;"Highly Urban/ Urban";2022-02-23 09:01:00,000;"complet";"dev_express";"18 - 25";"200 - 299"
917;"anesthésiste-réanimateur";"F";False;"0 - 20 k";"Commercial";"z_SUV";0;7;"z_Highly Rural/ Rural";2022-05-02 08:14:13,000;"complet";"dev_express";"40 - 60";"200 - 299"
921;"dessinateur-projeteur";"M";False;"20k - 40k";"Commercial";"Panel Truck";0;1;"z_Highly Rural/ Rural";2022-04-13 06:30:38,000;"complet";"dev_express";"40 - 60";"200 - 299"
931;"consultant SaaS";"M";False;"20k - 40k";"Private";"z_SUV";0;8;"Highly Urban/ Urban";2022-01-06 07:34:06,000;"complet";"dev_express";"40 - 60";"200 - 299"
932;"technicien électronicien électronicienne";"F";False;"100k +";"Commercial";"Pickup";0;0;"Highly Urban/ Urban";2022-03-18 04:48:23,000;"complet";"dev_express";"60 - 80";"200 - 299"
946;"viticulteur";"F";False;"60k - 80k";"Commercial";"Panel Truck";0;15;"Highly Urban/ Urban";2022-04-21 08:04:40,000;"complet";"dev_express";"40 - 60";"200 - 299"
954;"agent de sécurité";"M";False;"100k +";"Private";"z_SUV";0;16;"Highly Urban/ Urban";2022-03-16 01:51:04,000;"complet";"dev_express";"60 - 80";"200 - 299"
960;"webmestre";"M";False;"0 - 20 k";"Private";"z_SUV";0;13;"z_Highly Rural/ Rural";2022-01-29 14:32:50,000;"complet";"dev_express";"40 - 60";"200 - 299"
961;"bactériologiste";"F";False;"0 - 20 k";"Private";"z_SUV";0;1;"Highly Urban/ Urban";2022-04-30 23:46:27,000;"complet";"dev_express";"40 - 60";"200 - 299"
968;"paysagiste";"M";False;"100k +";"Private";"Minivan";0;16;"Highly Urban/ Urban";2022-03-04 02:26:03,000;"complet";"dev_express";"80";"200 - 299"
969;"technicien logistique";"F";False;"60k - 80k";"Private";"Sports Car";0;10;"Highly Urban/ Urban";2022-05-06 07:53:57,000;"complet";"dev_express";"60 - 80";"200 - 299"
