id;code_dep_code_com;no_voie;b_t_q;type_voie;voie;surface_carrez;surface_reelle;nb_pieces;type_local
75;86 - 194;9007;;RUE;DES DOUVES;71,03;75;4;Appartement
76;87 - 75;14;;RUE;DU CLUZEAU;62,95;62;2;Appartement
77;87 - 85;8;;RUE;GEORGES BELJEAN;43,54;43;2;Appartement
78;91 - 249;2;;RUE;D ADELAIAU;128,34;128;5;Appartement
79;91 - 689;6;;RUE;DE LA DIVISION LECLERC;43,42;43;2;Appartement
80;92 - 25;79;;RUE;DE VARSOVIE;49,45;55;3;Appartement
81;92 - 26;5;;BD;GEORGES CLEMENCEAU;62,1;65;3;Appartement
82;92 - 36;32;;RUE;GEORGES THORETTON;59,35;59;3;Appartement
83;92 - 44;74;;RUE;JULES GUESDE;52,85;55;2;Appartement
84;93 - 32;35;;AV;SAINTE FOY;106,31;90;4;Maison
85;93 - 51;4;;ALL;JOSEPHINE;77,93;77;4;Appartement
86;93 - 57;129;;ALL;JULES AUFFRET;46;46;2;Appartement
87;93 - 71;1;;PL;GASTON BUSSIERE;24,63;24;2;Appartement
88;94 - 44;21;;RUE;CLAUDE BERNARD;67,1;67;3;Appartement
89;94 - 60;18;;RUE;DE PROVENCE;80;66;4;Maison
90;94 - 60;4;;RUE;DU CLOS SAINT NICOLAS;48,02;49;2;Appartement
91;94 - 80;7;;RUE;DE L EGALITE;16,37;17;1;Appartement
92;95 - 252;16;;RUE;DE LA FOSSE AUX BICHES;72,53;69;4;Appartement
93;95 - 388;57;;ALL;DU VEXIN;90,07;93;5;Maison
94;95 - 607;9004;;RES;LES LIGNIERES;57,1;56;3;Appartement
95;01 - 262;9;;RUE;NEUVE;41,82;47;1;Appartement
96;02 - 408;27;;RUE;FERNAND THUILLART;165,11;156;6;Appartement
97;03 - 190;2;;RUE;DENAIN;124,01;77;3;Appartement
98;04 - 73;7052;;RES;LES CHENEVRIERS;24,32;25;1;Appartement
99;04 - 166;7102;;PL;DE L ENGIEN;106,43;133;4;Appartement
100;04 - 209;9002;;PL;DU DOCTEUR ROBERT;32,89;33;1;Appartement
101;06 - 4;15;;AV;NIQUET;37,66;41;2;Appartement
102;06 - 27;7;;CHE;DE SAINT LAURENT;58,42;58;3;Appartement
103;06 - 88;8;;RUE;ROSSINI;99,04;98;4;Appartement
104;06 - 88;27;;RUE;LAMARTINE;30,2;95;3;Appartement
105;06 - 88;4;;AV;VALROSE;68,75;68;3;Appartement
106;06 - 159;15;B;AV;VICTOR CAUVIN;56,05;58;2;Appartement
107;10 - 323;5;;IMP;DU CHANT DE L ALOUETTE;55,5;52;3;Appartement
108;13 - 119;5279;F;RUE;DU 14 JUILLET;53,09;51;3;Appartement
109;13 - 201;55;;RUE;FRANCIS DAVSO;48,24;50;2;Appartement
110;13 - 204;9;;RUE;BOSCARY;28,4;30;1;Appartement
111;13 - 206;9;;RUE;CRUDERE;51,01;51;3;Appartement
112;13 - 209;13;;BD;GUSTAVE GANAY;51,54;52;3;Appartement
113;14 - 118;4;;RUE;AUX NAMPS;34,83;59;2;Appartement
114;14 - 333;1;;RUE;PESTEL;12,44;13;1;Appartement
115;14 - 715;1;;AV;P CASSAGNAVERE;53,76;53;2;Appartement
116;14 - 754;1;;RUE;CHARLES KOECHLIN;52,82;32;2;Maison
117;17 - 300;66;;AV;DENFERT ROCHEREAU;32,18;33;1;Appartement
118;17 - 414;6;;RUE;DES MENDRIES;49,9;50;3;Maison
119;22 - 113;5;;RES;DE LA HAUTE RIVE;68,3;67;4;Appartement
120;22 - 168;33;;RUE;ANATOLE LE BRAZ;54,42;57;2;Appartement
121;22 - 278;16;H;BD;DE L ATLANTIQUE;64;64;4;Appartement
122;24 - 322;19;;AV;DAUMESNIL;31,05;33;1;Appartement
123;25 - 527;850;;CHE;DES GOUILLOTTES;127,96;147;5;Appartement
124;28 - 85;34;B;RUE;DU FAUBOURG ST JEAN;106,03;105;5;Maison
125;30 - 3;22;;RUE;THEAULON;32,29;50;2;Appartement
126;30 - 7;145;;QUAI;DE BILINA;39,5;39;2;Appartement
127;30 - 133;80;;RUE;DES ANEMONES;20;19;1;Appartement
128;30 - 189;4;B;RUE;ARNAVIELLE;60,07;60;3;Appartement
129;32 - 13;3;;RUE;DAUMESNIL;54;57;2;Appartement
130;33 - 5;230;;BD;DE LA REPUBLIQUE;44,12;44;2;Appartement
131;33 - 63;52;;RUE;DU TONDU;61,16;60;4;Appartement
132;33 - 75;17;;RUE;DES HIRONDELLES;86,3;86;4;Maison
133;33 - 550;17;;RUE;LAURENT FIGNON;39,23;45;2;Appartement
134;34 - 23;7;;AV;PASTEUR;24,6;24;1;Appartement
135;37 - 261;5;;RUE;HENRI HERTZ;42,2;42;2;Appartement
136;37 - 261;4;;ALL;DES ERABLES;63,1;70;3;Appartement
137;38 - 169;6;;RUE;DOYEN GOSSE;21;20;1;Appartement
138;38 - 185;4;;PL;BIR HAKEIM;95,74;95;3;Appartement
139;38 - 253;13;;AV;DE LA MUZELLE MT DE LANS;60,55;62;3;Appartement
140;40 - 46;176;;AV;GABRIELE  D ANNUNZIO;29,78;25;1;Maison
141;40 - 88;49;;AV;VICTOR HUGO;18,63;19;1;Appartement
142;40 - 304;112;;AV;DU MARENSIN;82,35;47;3;Maison
143;42 - 256;2;;CHE;DES GREFFIERS;94,39;93;4;Maison
144;44 - 109;52;;BD;DE L EGALITE;62,14;64;3;Appartement
145;44 - 190;18;;RUE;BONNE GARDE;47,34;47;2;Appartement
146;44 - 204;1;;RUE;PAUL VERLAINE;42,25;42;2;Appartement
147;45 - 234;239;;FG;SAINT VINCENT;65,71;65;3;Appartement
148;45 - 286;13;;ALL;DES ERABLES;72,37;69;1;Appartement
149;50 - 2;74;;RTE;DE COUTANCES;57,88;47;2;Appartement
150;51 - 454;7;;IMP;DES CARMELITES;119,95;121;4;Appartement
151;54 - 395;21;;RUE;DES SOEURS MACARONS;36,6;38;2;Appartement
152;56 - 62;2;;RES;DE PORH MEN GUEN;97,51;105;3;Appartement
153;59 - 368;19;;AV;SIMONE;80,09;80;3;Appartement
154;59 - 378;42;Q;RUE;JEAN JAURES;29,73;30;2;Maison
155;59 - 491;468;;RUE;HENRI DURRE;153,25;139;5;Maison
156;60 - 159;2;;RUE;AMPERE;41;37;1;Appartement
157;60 - 159;59;C;RUE;DU GENERAL MANGIN;220,72;210;8;Maison
158;60 - 382;35;;IMP;JEAN DE LA FONTAINE;30,38;30;2;Appartement
159;60 - 395;1;;AV;JACQUES CARTIER;72,91;74;4;Appartement
160;60 - 524;34;B;AV;DE LA GARE;67,47;68;3;Appartement
161;62 - 41;76;;PL;GRAND PLACE;45,5;45;2;Appartement
162;63 - 300;31;;RUE;HIPPOLYTE GOMOT;62,72;47;2;Appartement
163;69 - 3;6;;AV;DE LA GARE;108,84;109;4;Appartement
164;69 - 204;78;B;RUE;DES COLLONGES;43,25;43;2;Appartement
165;69 - 264;496;;RUE;ETIENNE POULET;78,72;71;3;Appartement
166;69 - 389;72;;RUE;SAINT PIERRE DE VAISE;32,82;38;1;Appartement
167;69 - 389;2;;PL;DE LA RHODIACETA;75,31;75;3;Appartement
168;70 - 550;24;;RUE;DE LA BANQUE;75,87;76;4;Appartement
169;70 - 550;22;;RUE;D ALSACE LORRAINE;168,38;106;4;Appartement
170;74 - 14;13;;RTE;DES MOULINS;21,29;21;1;Appartement
171;74 - 249;110;;RTE;DE LA SAUGE;76,14;76;3;Appartement
172;75 - 102;192;;RUE;SAINT DENIS;36,91;37;3;Appartement
173;75 - 103;24;;RUE;DE SAINTONGE;66;12;1;Appartement
174;75 - 104;8;;RUE;SAINT PAUL;25,34;25;2;Appartement
175;75 - 105;30;;RUE;DES BOULANGERS;21,34;20;1;Appartement
176;75 - 106;36;;RUE;DE BUCI;28,55;28;1;Appartement
177;75 - 107;7;;RUE;COGNACQ JAY;82,62;83;3;Appartement
178;75 - 110;38;;AV;CLAUDE VELLEFAUX;30,18;31;2;Appartement
179;75 - 111;7;;RUE;PLICHON;58,45;56;3;Appartement
180;75 - 111;33;;AV;PHILIPPE AUGUSTE;31,12;30;2;Appartement
181;75 - 112;38;B;RUE;TRAVERSIERE;44,95;50;2;Appartement
182;75 - 114;31;;RUE;DE L ABBE CARTON;25,06;26;1;Appartement
183;75 - 115;8;;RUE;MARMONTEL;37,38;37;2;Appartement
184;75 - 115;22;A;RUE;EMERIAU;99,96;97;6;Appartement
185;75 - 117;62;;RUE;LEGENDRE;63,16;75;3;Appartement
186;75 - 117;68;;RUE;MSTISLAV ROSTROPOVITCH;47,12;47;2;Appartement
187;75 - 118;76;;RUE;LEPIC;53,01;50;3;Appartement
188;75 - 118;21;B;RUE;DUHESME;52,46;51;3;Appartement
189;75 - 118;124;;RUE;DAMREMONT;52,24;50;2;Appartement
190;75 - 118;89;;RUE;DES POISSONNIERS;29,13;30;2;Appartement
191;75 - 118;28;;RUE;DE TORCY;67,8;68;3;Appartement
192;75 - 120;9;;RUE;HENRI CHEVREAU;21,01;25;1;Appartement
193;76 - 351;4;;RUE;MICHEL DUBOSC;19,9;20;1;Appartement
194;76 - 447;3;;RUE;HENRY LEMONNIER;45,84;30;1;Appartement
195;76 - 451;10;;RUE;ROBERT DE THORIGNY;39,3;39;2;Appartement
196;77 - 5;19;B;RUE;DU GENERAL DE GAULLE;32,99;29;2;Appartement
197;77 - 14;56;;RUE;REMY DUMONCEL;24,06;25;1;Appartement
198;77 - 58;4;;RUE;KONRAD ADENAUER;53,6;53;2;Appartement
199;77 - 58;17;;AV;DU GENERAL DE GAULLE;31,42;31;1;Appartement
200;77 - 59;13;Q;RUE;DE CHAMPAGNE;111,15;102;5;Maison
201;77 - 192;2;E;SQ;DU PETIT MARGAT;60,25;60;3;Appartement
202;77 - 259;2;C;CHE;DU GAZON;75,06;76;4;Maison
203;77 - 288;17;;RUE;LOUVIOT;33,49;33;2;Appartement
204;77 - 288;15;;RUE;DE VAUX;44,94;45;2;Appartement
205;77 - 379;2;B;RUE;DU TEMPLE;66,54;76;3;Appartement
206;78 - 5;113;;AV;DE POISSY;42,2;42;2;Appartement
207;78 - 372;8;;SQ;DES AUBADES;67,6;66;4;Appartement
208;78 - 372;9;;RES;DE LA SABOTTE;53,05;55;3;Appartement
209;78 - 383;1;;SQ;DU JURANCON;27,81;28;1;Appartement
210;78 - 550;3;;RUE;LOUIS PASTEUR;101,85;107;6;Maison
211;78 - 621;9003;;CITE;LA GARENNE A BREFAUT;55,06;51;3;Appartement
212;78 - 646;16;;RUE;DE L OCCIDENT;80,38;82;4;Appartement
213;82 - 96;29;;RUE;DES LILAS;71,05;71;3;Maison
214;83 - 9;71;;CHE;DE L ESCOURCHE;37,6;51;2;Appartement
215;83 - 9;271;;BD;DES GRAVIERS;15,2;15;1;Appartement
216;83 - 34;9500;;RES;LE ST VINCENT;29,85;30;2;Appartement
217;83 - 70;1;;AV;PIERRE DE COUBERTIN;64,84;64;3;Appartement
218;85 - 35;9733;;RES;LES TROIS TOURS 2;37,82;37;2;Appartement
219;85 - 127;5;;AV;DU LITTORAL;64,41;64;3;Appartement
220;85 - 194;3;;RUE;FIEF DES COUTS;63,63;64;3;Appartement
221;85 - 262;46;;RUE;DU BAS RUET;88,5;88;4;Maison
222;88 - 372;38;;RUE;JULES FERRY;81,24;82;3;Appartement
223;90 - 10;1;;RUE;DE COLMAR;42,25;44;2;Appartement
224;90 - 10;24;;RUE;DE CRONSTADT;56;56;3;Appartement
225;91 - 114;43;;RUE;DES 3 CHENES;69,17;63;4;Appartement
226;91 - 225;10;;RES;LES BOIS DU CERF;146,94;168;6;Maison
227;91 - 326;5;;RUE;MONTTESSUY;49;49;3;Appartement
228;91 - 377;4;;ALL;D'AUTRICHE;93,02;96;5;Appartement
229;91 - 425;50;B;RTE;D ORLEANS RN 20;40;44;2;Appartement
230;91 - 570;10;;ALL;DES ERABLES;115,97;118;5;Maison
231;91 - 589;239;;AV;ROBERT LEUTHREAU;90;45;2;Maison
232;92 - 4;4;;RUE;BERNARD JUGAULT;67,23;66;4;Appartement
233;92 - 4;26;;RUE;DES BOURGUIGNONS;40,69;40;3;Appartement
234;92 - 4;12;;RUE;DU R P CH GILBERT;54,2;54;2;Appartement
235;92 - 9;1;;RUE;CLAUDE MIVIERE;52,47;52;3;Appartement
236;92 - 12;6;;IMP;BELLEVUE;65,62;56;1;Appartement
237;92 - 12;197;;RUE;GALLIENI;87,15;88;4;Appartement
238;92 - 12;19;;ALL;ROBERT DOISNEAU;23,8;23;1;Appartement
239;92 - 12;11;;RUE;SAINT DENIS;31,2;29;2;Appartement
240;92 - 12;11;;RUE;FESSART;78,02;119;4;Appartement
241;92 - 14;36;;RUE;PAUL HENRY THILLOY;76,85;77;1;Appartement
242;92 - 22;1162;;AV;ROGER SALENGRO;59,73;50;3;Appartement
243;92 - 23;85;;AV;HENRI BARBUSSE;40,8;74;3;Appartement
244;92 - 25;273;;RUE;SAINT DENIS;61,06;62;3;Appartement
245;92 - 25;9;;RUE;PAUL BERT;38,05;35;2;Appartement
246;92 - 25;21;;RUE;VICTOR HUGO;32,02;32;2;Appartement
247;92 - 26;7;;RUE;DE LA SABLIERE;94,32;92;4;Appartement
248;92 - 48;1;;SQ;DES COLONNES;61,97;63;3;Appartement
249;92 - 50;6;;RUE;DE L'OUEST;61,93;61;3;Appartement
250;92 - 63;7;;RUE;DU GUE;25,16;25;1;Appartement
251;92 - 63;11;;RUE;DE LA BENARDE;46,75;46;2;Appartement
252;92 - 63;12;;SQ;RONSARD;48,5;47;2;Appartement
253;92 - 75;7;;RUE;LOUIS BLANC;44,17;43;2;Appartement
254;93 - 1;55;;RUE;DU MOUTIER;35;35;2;Appartement
255;93 - 6;77;;RUE;SADI CARNOT;30,45;30;2;Appartement
256;93 - 10;4;;RUE;ARTHUR RIMBAUD;70,56;71;3;Appartement
257;93 - 48;24;;RUE;KLEBER;102,46;147;6;Appartement
258;94 - 16;68;;RUE;DU COLONEL FABIEN;21,13;21;1;Appartement
259;94 - 22;18;;RUE;PAUL CARLE;41,57;42;2;Appartement
260;94 - 33;15;;RUE;DE TRUCY;29,07;15;1;Appartement
261;94 - 41;3;;ALL;MULATRESSE SOLITUDE;68,02;67;3;Appartement
262;94 - 42;4;;RUE;HALIFAX;73,81;76;3;Appartement
263;94 - 52;6;;RUE;ANQUETIL;50,08;50;2;Appartement
264;94 - 68;83;;AV;DU BAC;61,93;62;3;Appartement
265;94 - 71;16;;RUE;DU MOUTIER;34,2;34;2;Appartement
266;94 - 76;1;;RUE;PIERRE ET MARIE CURIE;39,39;39;2;Appartement
267;94 - 79;7;;ALL;DE DERRIERE LES JARDINS;84,23;82;4;Appartement
268;94 - 80;74;;RUE;DE LA JARRY;50,6;50;3;Appartement
269;94 - 80;27;;AV;PAUL DEROULEDE;25,14;20;1;Appartement
270;95 - 203;4;;RUE;DE LA BRIQUETERIE;64;63;3;Appartement
271;95 - 218;1;;RUE;DES CAPUCINES;45,04;46;2;Appartement
272;95 - 218;1;;RUE;DU PAPIER COUCHE;56,86;57;3;Appartement
273;95 - 500;20;;RUE;DES MARECHAUX;77,71;77;4;Appartement
274;95 - 572;76;;RUE;GEORGE SAND;61,05;61;3;Appartement
275;04 - 209;9003;;PL;DE L HORLOGE;105,71;119;4;Appartement
276;14 - 79;17;;RUE;DE VERDUN;30,09;30;2;Appartement
277;14 - 754;6412;;CHE;DE BOIS LURETTE;30,38;30;2;Appartement
278;54 - 395;10;;RUE;FERRI III;47,04;46;2;Appartement
279;74 - 256;29;;RTE;DE CUSIN;63,14;62;3;Appartement
280;77 - 14;5;;RUE;DU ROCHER;45,61;49;2;Appartement
281;80 - 21;12;;RUE;MARTIN BLEU DIEU;34,99;35;1;Appartement
282;82 - 112;7;;AV;DU DOCTEUR ROUANET;67,19;67;4;Appartement
283;91 - 223;9;;RUE;DE LA JUIVERIE;31,49;36;1;Appartement
284;01 - 160;1;;RUE;DE GEX;82,59;75;3;Appartement
285;01 - 288;140;;RUE;DE L'ABBE JOLIVET;109,22;109;5;Maison
286;04 - 70;1;;RUE;DES MONGES;144,6;120;4;Appartement
287;06 - 29;3;;RUE;NOTRE-DAME;31,21;32;2;Appartement
288;06 - 32;56;;AV;DU TROIS SEPTEMBRE;24,58;24;1;Appartement
289;06 - 79;114;;AV;GASTON DE FONTMICHEL;36,6;36;2;Appartement
290;06 - 83;55;;AV;DE SOSPEL;29;29;1;Appartement
291;06 - 83;649;;PROM;DU SOLEIL;54,34;57;2;Appartement
292;06 - 88;17;;RUE;GOUNOD;32,83;33;2;Appartement
293;06 - 88;4;;BD;CIMIEZ;133,44;144;4;Appartement
294;10 - 325;;;;LES FEUILLATES;63,58;63;3;Appartement
295;10 - 343;17;D;RUE;DE LA COOPERATIVE;50,75;50;3;Appartement
296;10 - 362;146;;AV;GEN GALLIENI;47,88;48;2;Appartement
297;10 - 362;2;;RUE;NVE DE LA REPUBLIQUE;68,03;66;3;Appartement
298;11 - 170;1;;RES;GRUISSAN PORT;23,89;25;3;Appartement
299;11 - 170;156;;PL;DE LA BONANCE;22,15;28;2;Appartement
300;13 - 5;2;;RUE;DE LA BIBLIOTHEQUE;82,72;84;5;Appartement
301;13 - 22;26;;RUE;DOCT SEVERIN ICARD;36,8;37;3;Appartement
302;13 - 28;3;;RUE;ANTOINE PIRRODI;29,29;30;1;Appartement
303;13 - 28;432;;BD;DE LAVAUX;115,53;114;4;Appartement
304;13 - 101;200;;CHEM;DU COULET;92,99;61;3;Maison
305;13 - 205;294;;BD;CHAVE;64,45;63;3;Appartement
306;13 - 207;62;;BD;BOMPARD;24,89;40;3;Appartement
307;13 - 207;2;;RUE;CAPITAINE DESSEMOND;22,71;22;1;Appartement
308;13 - 208;27;;RUE;ROCCA;85,37;86;4;Appartement
309;13 - 209;1;;RES;LE LANCIER;31,28;32;1;Appartement
310;13 - 210;68;;BD;MIREILLE LAUZE;112,09;111;5;Appartement
311;14 - 220;6;;AV;ROGER DELIENCOURT;41,78;43;2;Appartement
312;14 - 754;4;;AV;DE LA REPUBLIQUE;47,05;46;2;Appartement
313;18 - 33;15;;RUE;JEAN JACQUES ROUSSEAU;77,87;78;3;Appartement
314;19 - 31;5;;RUE;D ESPAGNAC;70,19;71;3;Appartement
315;22 - 278;8;;PL;DU GUESCLIN;168,7;123;4;Appartement
316;2A - 362;6113;;;SUVERA TORTA;32,16;32;2;Maison
317;30 - 106;5495;;CHE;NEUF;82,11;84;4;Maison
318;30 - 189;163;;RUE;DE BRUNSWICK;36,29;40;1;Appartement
319;30 - 189;74;;IMP;DES LUPINS;65,24;65;3;Appartement
320;31 - 203;4;;RUE;DEMOISELLES DE GASCOGNE;36,46;38;2;Appartement
321;31 - 555;10;;BD;PIERRE CURIE;60,16;65;3;Appartement
322;33 - 39;7;;RUE;ARISTIDE DE SOUSA-MENDES;56,67;59;3;Appartement
323;33 - 39;422;;RTE;DE TOULOUSE;50,16;50;2;Appartement
324;33 - 63;51;;RUE;DE PESSAC;26,39;26;1;Appartement
325;33 - 514;12;;RUE;ANDRE LEROUX;35,8;35;2;Appartement
326;33 - 522;16;;AV;VIEILLE TOUR;20,15;19;1;Appartement
327;33 - 533;6;B;RTE;DE LA GARONNE;62,55;65;2;Appartement
328;34 - 3;24;;ALL;DE LA FLANERIE;23,7;23;1;Appartement
329;34 - 79;94;;RUE;FRANCOISE GIROUD;44,14;43;2;Appartement
330;34 - 157;8;;AV;GAL DE GAULLE;59,19;72;3;Appartement
331;34 - 301;;;RES;PORT VAUBAN;62,66;71;3;Appartement
332;35 - 210;2;B;AV;CHARLES LE GOFFIC;56,15;61;3;Appartement
333;35 - 238;2;;RUE;DUGUESCLIN;16,54;17;1;Appartement
334;37 - 261;7;;RUE;JEAN LURCAT;65,52;66;3;Appartement
335;38 - 185;42;;CRS;JEAN JAURES;31;31;2;Appartement
336;38 - 185;3;;AV;DE VALMY;61,23;62;3;Appartement
337;38 - 185;10;;RUE;ELISEE CHATIN;76,75;73;3;Appartement
338;38 - 191;5519;;RES;LES TERRASSES DE L ALPE I;16,3;17;1;Appartement
339;38 - 421;1;;RUE;FRANZ LISZT;60,73;61;4;Appartement
340;38 - 421;2;;RUE;SIMONE DE BEAUVOIR;81,25;81;4;Appartement
341;39 - 526;7;;PL;DE LA VICTOIRE;97,41;101;5;Maison
342;40 - 88;11;;RUE;DES SERRES;85,32;78;4;Appartement
343;40 - 281;220;;CHE;DE LAREIGNE;45,94;46;2;Appartement
344;40 - 284;9;T;AV;DE LA GARE;53,22;50;3;Maison
345;40 - 312;1;;ALL;HELENE ET JACQUES SOLOMON;65,26;65;3;Appartement
346;40 - 312;3;;PL;ALEXANDRE VIRO;91,43;90;4;Appartement
347;40 - 317;80;;RTE;DE L ETANG;74,39;74;4;Maison
348;42 - 5;33;;RUE;DU TREYVE;90,2;66;3;Appartement
349;42 - 187;85;B;RUE;JOANNY AUGE;76,75;77;3;Appartement
350;42 - 187;12;;RUE;BERCHOUX;41,31;42;2;Appartement
351;42 - 187;10;;RUE;DES ECOLIERS;61,37;59;2;Appartement
352;42 - 332;115;;RUE;DU MOULIN A VENT PROLONGE;75,95;70;4;Appartement
353;43 - 157;33;;RUE;ST GILLES;36,98;50;2;Appartement
354;44 - 35;29;;RUE;CHARLES NUNGESSER;51,77;51;3;Maison
355;44 - 109;2;;IMP;DE L HOTEL DIEU;62,88;50;1;Maison
356;44 - 132;44;;BD;OCEANIDES;67,98;68;2;Appartement
357;44 - 198;5;;RUE;LOUISE MICHEL;53,25;52;2;Appartement
358;45 - 75;28;;RUE;GUSTAVE EIFFEL;60,7;60;3;Appartement
359;45 - 232;481;;AV;DU LOIRET;70,03;68;4;Appartement
360;45 - 234;13;;RUE;DE GAUCOURT;44,39;45;2;Appartement
361;45 - 284;28;;RUE;DE LA HAUTE CROIX;26,25;26;1;Appartement
362;49 - 7;63;;RUE;DU PRE PIGEON;71,08;75;3;Appartement
